Survey_number,Sex,School_code,Teacher_code,Library_me,Museum_me,Scouts_me,National_Parks_me,Afterschool_me,Talk_me,Summer_camp_me,Hike_outdoors_me,Garden_me,Experiments_me,Read_me,Internet_me,Computer_me,TV_me,Build_me,Library_encourage,Museum_encourage,Scouts_encourage,National_park_encourage,Afterschool_encourage,Talk_encourage,Summer_camps_encourage,Hike_outdoors_encourage,Garden_encourage,Experiment_encourage,Read_encourage,Internet_encourage,Computer_encourage,TV_encourage,Build_encourage,Stars_planets,mix_materials,Weather,Human_body,Traits,Dinosaurs,Fish_hunt,Earthquakes,Instruments,Diseases,Dangerous_plants_animals,Planets_space,Buildings_bridges,Eat_exercise,Engines,Rocks_minerals,Computers_cell_phones,Puzzels_math,Food_flowers,Maps,Invent,Community_green,Pets,Earth_space_5,Human_bio_5,Tech_eng_5
2,1,Shaver,Nakashima,3,3,1,4,4,2,1,3,3,3,4,4,5,3,3,1121,2111,1112,2111,2111,1112,1121,2111,2111,2111,1121,1121,2111,1121,1112,4,4,3,4,4,4,3,4,3,4,2,4,NA,2,4,4,4,3,2,2,4,2,2,0.6875,0.583333333333332,0.65
4,1,Shaver,Nakashima,3,2,2,2,3,4,1,2,1,3,4,4,5,1,3,2211,1121,1121,1121,2111,2211,1121,1121,1121,1221,2221,2211,1112,1112,2221,3,5,2,5,3,2,1,2,3,5,4,3,2,5,3,2,5,1,1,2,5,2,2,0.375,0.833333333333333,0.541666666666668
6,1,Shaver,Nakashima,3,2,2,2,3,2,1,3,2,3,1,3,3,3,2,2111,2111,1112,1121,1211,2111,1112,1121,1211,1211,1121,1211,1211,1211,1211,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,4,5,4,3,4,4,3,4,0.5,0.583333333333332,0.708333333333332
7,0,Shaver,Nakashima,4,4,1,2,1,4,1,4,3,4,5,2,5,4,4,2111,1211,1112,1211,1211,2111,1112,2111,2111,1121,2111,1211,1121,2111,2111,4,5,3,1,2,5,4,5,5,3,5,1,2,1,2,4,5,1,2,5,5,3,5,0.5625,0.0833333333333325,0.708333333333332
10,0,Shaver,Nakashima,3,1,2,2,5,3,1,5,2,4,3,4,5,3,2,1112,1121,1112,1121,2111,1112,1112,2111,1112,1112,1211,2111,2111,1112,2111,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,NA,2,1,1,1,5,1,1,0.0625,0,0.3
11,1,Shaver,Nakashima,3,2,2,2,5,4,5,4,3,4,5,5,4,3,3,1112,1112,1121,1112,2111,1211,2111,1112,1211,1112,1112,1112,1112,2111,1112,4,4,3,4,4,2,4,5,3,4,2,4,2,4,3,2,3,4,3,3,4,4,4,0.75,0.75,0.458333333333332
13,0,Shaver,Nakashima,5,3,1,5,5,5,1,5,3,5,5,4,3,4,5,1112,1112,1121,1112,1112,1112,1112,1112,1211,1112,1112,1112,1112,1112,1112,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,0.8125,1,1
14,1,Shaver,Nakashima,4,3,1,3,4,4,1,1,1,1,3,3,1,3,3,2111,1121,1112,2111,2111,1211,1112,2111,2111,2111,2111,2111,2111,2111,1211,5,5,5,5,4,5,1,5,4,5,5,5,5,4,1,5,5,1,5,5,5,1,5,1,0.833333333333333,0.833333333333333
15,1,Shaver,Nakashima,4,2,1,2,3,1,1,5,1,1,4,1,5,1,2,1112,1112,1112,1112,2111,2111,1112,2222,1112,1112,1112,1112,1112,1112,1112,1,5,5,5,5,5,5,5,5,5,5,5,1,5,4,1,1,1,5,1,1,5,5,0.75,1,0.125
17,1,Shaver,Nakashima,1,1,1,1,4,5,2,3,1,1,1,1,1,5,1,2111,1112,2111,1112,2111,2111,1112,1112,1112,2111,1112,1112,2111,1112,1112,4,5,4,4,5,4,5,5,4,4,5,5,4,5,5,5,5,4,5,4,5,5,5,0.875,0.916666666666667,0.916666666666667
19,0,Shaver,Nakashima,4,2,1,3,3,4,2,4,3,3,3,4,5,2,3,2111,1112,1111,1112,1112,1112,1112,1111,1111,1112,1112,1112,1112,1111,1112,4,4,4,5,5,5,2,4,3,5,5,5,4,4,1,4,5,2,2,3,3,4,4,0.8125,0.916666666666667,0.583333333333332
20,0,Shaver,Nakashima,4,3,3,3,5,3,2,3,4,3,3,3,4,3,3,1112,1112,1112,2111,2111,2111,1112,1112,1112,1112,1112,1112,1112,1112,1112,4,4,2,3,2,NA,5,3,2,2,1,1,4,3,3,1,2,1,4,2,5,4,5,0.375,0.416666666666668,0.458333333333332
21,0,Shaver,Nakashima,2,3,1,4,5,4,3,5,3,4,3,4,4,3,4,1112,1121,1121,2111,2111,1112,1112,2111,1112,1211,2111,1112,1221,1112,1211,1,5,5,3,3,4,5,4,1,4,3,5,4,5,3,5,3,5,2,4,5,5,3,0.6875,0.666666666666668,0.75
22,0,Shaver,Nakashima,4,2,1,3,5,4,1,4,2,3,4,3,1,3,3,1211,1211,1121,1211,2111,2111,1121,2111,1112,1121,2111,1211,1121,2111,1112,4,4,5,5,4,3,2,4,1,5,3,5,4,3,3,3,4,2,2,2,4,3,4,0.875,0.75,0.583333333333332
24,1,Shaver,NA,4,2,2,3,5,3,1,3,1,3,5,5,1,2,4,2111,1121,1121,1121,2111,2111,1121,2111,2111,1121,2111,2111,1112,2111,2111,5,4,5,5,NA,5,5,5,3,3,5,5,3,5,3,3,5,5,5,5,5,5,5,1,1,0.75
25,1,Shaver,Nakashima,4,2,1,3,5,1,1,3,3,2,3,5,5,4,1,1112,1112,1121,1112,2111,1121,1121,2111,1112,1112,2111,1112,1112,1112,1211,2,5,2,2,1,4,2,5,2,3,1,1,5,5,5,4,5,4,5,4,5,3,2,0.375,0.416666666666668,0.916666666666667
26,0,Shaver,Nakashima,4,3,3,1,1,4,1,3,2,2,1,1,1,4,4,2112,1211,1112,1111,2111,2111,1112,1211,1121,1121,1112,1112,1112,1121,1211,2,2,1,1,1,3,1,1,1,3,2,1,1,1,1,3,4,5,2,2,5,4,5,0.0625,0,0.416666666666668
27,1,Shaver,Nakashima,4,2,3,2,2,2,1,2,3,4,2,2,2,3,2,2111,1121,1121,1112,1112,2111,1112,1112,1121,1121,1112,1112,1211,2111,1121,2,4,2,2,1,2,2,2,2,4,3,1,3,1,2,3,5,2,2,1,1,4,4,0.1875,0.0833333333333325,0.375
28,1,Shaver,Newcomb,4,2,1,2,5,4,1,4,1,2,4,4,2,3,1,2111,1112,1111,2111,1112,2111,1111,2111,1111,1111,1111,1112,1111,1112,1111,1,1,1,3,5,5,1,5,1,5,1,1,1,3,1,4,5,2,1,1,1,1,5,0.25,0.666666666666668,0.291666666666668
29,1,Shaver,Newcomb,4,3,1,2,5,3,1,4,1,3,4,4,4,2,1,2111,1112,1111,2111,1112,1111,1111,2111,1111,1111,1111,1112,1112,1112,1111,1,1,1,3,5,5,1,5,1,5,1,1,1,3,1,4,5,2,1,1,1,1,5,0.25,0.666666666666668,0.291666666666668
30,0,Shaver,Newcomb,2,1,1,2,5,4,1,5,3,3,4,4,5,5,4,1121,1211,1211,1121,1211,2111,1112,1211,1112,1121,1211,1121,1211,1112,1222,5,4,2,2,2,1,5,4,4,5,1,5,3,2,5,4,5,2,1,3,4,4,5,0.75,0.25,0.75
31,NA,Shaver,Newcomb,3,3,1,2,2,4,2,5,1,5,5,5,1,5,5,1211,2111,2111,2111,1121,1211,2111,2111,1112,2111,2111,1211,1211,2111,2111,5,4,3,1,2,1,5,3,1,4,3,5,1,1,3,4,3,4,NA,3,4,2,5,0.75,0.0833333333333325,0.5
32,1,Shaver,Newcomb,3,1,1,2,5,2,1,1,3,2,2,2,4,3,2,1112,1111,1111,1111,2111,1112,1111,1111,2111,1111,1112,1111,1112,2111,1111,2,4,2,1,1,2,1,2,1,2,4,1,1,1,2,5,5,5,NA,NA,5,2,5,0.1875,0,0.65
33,1,Shaver,Newcomb,2,3,1,4,5,1,1,2,2,2,4,1,5,1,1,1111,2111,1112,2111,1112,2111,1112,2111,1112,1211,1112,2111,1222,1111,1111,1,5,1,4,2,5,1,5,3,5,5,1,1,1,3,5,5,3,1,1,5,2,1,0.25,0.333333333333332,0.583333333333332
34,1,Shaver,Newcomb,2,3,1,4,5,4,1,2,1,1,4,2,5,1,1,1112,1211,1112,1211,2111,1112,1112,1112,1112,1112,1121,1112,1121,1112,1112,4,4,5,4,2,5,3,5,2,4,2,4,2,5,1,1,5,1,1,1,1,4,2,0.875,0.666666666666668,0.208333333333332
35,1,Shaver,Newcomb,5,1,1,3,1,4,1,5,4,3,5,4,5,4,4,1112,1112,1112,2111,2111,2111,2111,1112,1112,1112,1121,1112,1112,1211,2111,5,5,5,5,4,5,1,5,2,5,4,5,1,4,2,4,5,2,4,4,4,4,2,1,0.833333333333333,0.583333333333332
37,1,Shaver,Newcomb,4,3,1,1,1,5,1,1,1,3,4,3,5,1,5,2111,1211,1112,1111,2111,1112,1111,1111,1112,1111,1111,1111,1111,1221,1111,5,4,1,4,2,5,5,5,1,5,1,1,5,5,1,5,5,1,5,5,1,5,5,0.5,0.666666666666668,0.666666666666668
38,1,Shaver,Newcomb,3,2,1,3,1,4,1,2,5,2,5,2,5,1,5,2111,1112,1112,2111,1112,2111,1112,1112,2111,1121,1211,1112,1211,1112,1121,5,5,1,5,5,1,1,5,5,5,5,5,1,5,1,1,5,1,5,1,1,5,5,0.75,1,0.166666666666668
39,1,Shaver,Newcomb,4,2,1,3,5,4,1,5,3,3,5,3,3,4,3,1112,1112,2111,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,4,5,3,4,4,2,5,1,2,4,3,5,5,3,2,5,5,2,5,2,5,5,5,0.5625,0.666666666666668,0.75
40,1,Russell,Robinson,4,2,1,3,5,5,2,4,3,4,5,5,5,3,5,1112,2111,1121,1211,1211,1112,2111,1121,2111,1112,1112,2111,1112,1112,1121,3,5,4,4,5,5,1,4,1,3,3,5,4,5,3,5,3,5,4,4,2,5,5,0.75,0.916666666666667,0.625
42,1,Russell,Robinson,3,4,2,2,2,5,5,5,5,3,5,5,5,3,5,1112,1112,1112,1121,1112,2111,1121,1112,2111,1112,1112,1112,2122,2111,1112,4,5,4,4,4,5,4,5,4,5,5,5,4,4,5,5,5,4,5,4,5,4,5,0.875,0.75,0.916666666666667
43,1,Russell,Robinson,2,3,2,3,4,5,1,3,3,4,3,3,4,2,2,1112,2111,1112,1211,1112,2111,2111,1112,1121,1112,1112,1112,1112,1211,2111,4,3,2,2,2,3,2,3,3,4,2,2,1,2,NA,2,1,1,2,1,3,NA,3,0.4375,0.25,0.15
44,1,Russell,Robinson,4,3,1,3,4,5,3,4,3,2,4,4,4,2,2,1112,1121,1111,2111,2112,1112,1121,1112,1111,1121,2111,1112,1112,1111,1111,4,5,3,4,2,4,1,3,1,2,1,5,1,2,1,2,1,4,1,1,2,4,4,0.6875,0.416666666666668,0.0833333333333325
45,1,Russell,Robinson,4,2,2,4,1,5,1,5,4,3,5,3,2,3,4,2111,1211,1111,1121,1211,2111,1211,1112,2111,1121,1121,1211,1121,2111,1121,5,4,2,3,2,1,4,3,4,3,1,2,4,5,3,5,4,2,4,3,5,3,5,0.5,0.583333333333332,0.75
46,1,Russell,Robinson,3,1,1,4,4,5,4,3,4,1,5,5,4,4,5,1112,1111,1121,2111,1112,1112,2111,2111,2111,2111,1112,1112,1112,1112,1112,5,5,2,4,2,5,1,5,1,5,4,5,4,2,4,2,5,4,1,5,5,4,5,0.8125,0.416666666666668,0.791666666666667
47,1,Russell,Robinson,1,1,2,5,1,1,2,5,5,3,4,3,5,2,5,1121,1121,2111,2111,1121,1121,1121,2111,1211,1112,1211,1121,2111,1112,2111,2,5,4,3,2,3,4,3,5,2,5,5,2,2,3,3,2,1,5,5,5,4,5,0.625,0.333333333333332,0.583333333333332
51,0,Russell,Robinson,3,2,5,5,5,2,2,4,2,3,2,2,5,3,3,1112,1112,2111,1121,1112,1112,1112,1121,2111,1112,1112,1112,1112,1111,1111,1,3,1,1,1,1,5,3,1,1,1,2,1,4,1,1,1,1,1,1,2,3,3,0.1875,0.25,0.0416666666666675
52,0,Russell,Robinson,3,2,3,3,1,2,2,2,4,3,4,2,5,5,5,2111,1112,2111,2111,1112,1112,1112,2111,2111,2111,1112,1112,2111,1112,1112,2,2,2,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2,0.5,0.25,0.708333333333332
53,0,Russell,Robinson,3,3,1,3,2,2,3,5,1,3,3,4,4,2,5,1112,1112,1112,1121,1112,1112,1112,1112,1112,1121,1112,1112,1112,1112,1121,5,5,3,4,2,4,3,4,2,3,3,4,3,3,4,3,4,3,2,4,1,2,1,0.75,0.5,0.541666666666668
55,0,Russell,Robinson,2,2,5,5,5,2,2,5,3,5,1,5,5,5,5,1112,1112,2111,2111,2111,1112,1112,2111,1112,1112,1112,1112,1112,1112,2111,1,5,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,1,1,1,5,1,5,0,0.166666666666668,0.5
57,0,Shaver,Newcomb,5,3,1,4,1,4,5,4,3,3,2,4,5,4,5,2111,1112,1121,2111,1211,1121,2111,2111,1211,2111,2111,1121,2111,1211,1121,4,4,3,1,2,4,5,4,5,4,3,4,NA,5,4,5,4,3,5,4,5,NA,NA,0.6875,0.416666666666668,0.85
58,0,Shaver,Newcomb,4,3,1,3,4,3,5,5,2,5,4,5,4,4,5,2111,1121,1111,1121,1111,1112,1112,2111,1111,1112,1112,1112,1121,1112,1112,4,4,3,1,3,4,5,3,1,2,5,3,3,2,4,4,5,4,2,3,5,3,5,0.5625,0.25,0.75
59,1,Shaver,Newcomb,4,3,2,4,4,4,1,5,2,2,4,2,5,4,4,1112,1122,1121,1112,1112,2111,1112,1112,1112,1121,1112,2111,1112,2111,2111,5,4,3,4,4,5,3,4,3,4,5,5,3,4,3,4,5,3,4,3,4,4,4,0.8125,0.75,0.666666666666668
60,0,Shaver,Newcomb,3,2,1,2,4,2,1,3,1,2,2,1,1,3,2,1112,1112,1111,1111,1112,1111,1111,1112,1111,1111,1111,1111,1111,1112,1111,5,1,3,2,2,5,3,5,2,2,3,5,2,2,2,2,4,3,2,2,3,2,5,0.875,0.25,0.375
70,0,Prescott,Marsh,4,2,5,4,4,5,1,5,4,3,3,5,4,2,1,2111,1112,1112,2111,1112,2111,1112,1112,1112,1112,2111,1112,1112,1112,1112,4,1,5,5,NA,NA,1,5,3,3,4,5,3,5,3,5,4,2,5,2,5,4,5,0.9375,1,0.666666666666668
72,1,Prescott,Renee,3,3,1,4,5,4,1,4,4,3,5,5,4,3,2,1121,1211,1121,2111,1211,2111,1121,2111,2111,2111,2111,1211,1211,2111,1211,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,1,0.916666666666667,0.916666666666667
76,1,Sacramento,Brown,4,2,1,3,1,3,1,4,3,1,5,1,1,3,3,1112,1111,1112,1112,1111,1111,1111,1112,1112,1111,1112,1111,1111,2111,1112,1,4,2,1,4,3,5,2,3,2,5,2,1,4,1,1,5,5,5,2,5,5,5,0.1875,0.5,0.375
77,1,Sacramento,Klansnic,3,2,1,2,5,4,3,4,4,3,5,5,5,3,4,2111,1211,1112,1121,2111,2111,2111,2111,2111,1211,2111,1211,1121,2111,1211,4,NA,4,3,4,5,3,3,2,3,4,5,4,4,3,3,3,2,3,4,5,5,5,0.75,0.666666666666668,0.666666666666668
78,1,Sacramento,Klansnic,2,2,1,4,2,1,1,4,1,1,2,2,5,2,2,1112,2111,1112,2111,1112,1112,1111,1121,1111,1112,1112,1121,1122,1111,1111,2,4,1,1,1,1,5,1,2,4,5,2,1,4,1,1,3,2,3,1,1,3,4,0.125,0.25,0.0833333333333325
79,1,Sacramento,Klansnic,2,4,1,4,4,5,1,5,5,4,5,3,3,3,5,2111,1112,1112,2111,2111,2111,2111,1211,1112,2111,1121,2111,1112,1112,1112,5,4,3,2,1,4,1,5,2,5,5,NA,2,1,3,2,5,1,1,1,2,3,4,0.833333333333333,0.0833333333333325,0.375
80,1,Sacramento,Brown,3,3,1,5,1,5,1,5,4,5,4,4,3,4,5,1112,1112,1121,1112,1121,1112,1211,1112,1112,1112,2111,1211,1112,1112,1211,4,5,3,3,2,4,2,4,5,3,4,4,2,5,2,2,3,4,2,2,2,5,4,0.6875,0.583333333333332,0.291666666666668
81,1,Sacramento,Brown,3,2,5,5,5,4,1,5,5,4,3,5,5,2,5,1112,1112,1211,2111,2111,2111,2111,1112,1112,2112,1112,2111,1112,2111,1121,2,5,4,3,5,5,5,5,4,5,5,4,3,4,5,4,5,5,NA,NA,5,5,5,0.6875,0.75,0.85
82,0,Sacramento,Klansnic,2,2,1,2,5,4,1,2,2,1,3,2,2,2,2,2111,1121,1112,2111,2111,1112,2111,2111,2111,1112,2111,1112,1112,1112,1112,2,3,1,2,1,1,4,1,1,4,2,1,1,1,1,1,1,1,1,5,5,4,5,0.0625,0.0833333333333325,0.333333333333332
83,1,Sacramento,Klansnic,2,3,1,3,2,4,1,3,4,5,5,5,5,3,2,1112,1112,1112,2111,2111,2111,2111,2111,2111,1112,1112,2111,1112,1222,1112,2,5,1,2,4,2,5,2,2,4,2,2,2,4,2,4,5,4,5,2,5,4,5,0.1875,0.583333333333332,0.583333333333332
84,1,Sacramento,Klansnic,3,2,1,4,5,4,5,5,5,5,4,5,5,4,5,2111,1112,1112,2111,1111,2111,1112,1112,1112,1112,1121,1112,1112,2111,1112,4,5,1,4,4,2,5,5,5,5,3,3,3,4,5,4,5,4,5,5,5,5,5,0.5625,0.75,0.875
