Survey_number,Sex,School_code,Teacher_code,Library_me,Museum_me,Scouts_me,National_Parks_me,Afterschool_me,Talk_me,Summer_camp_me,Hike_outdoors_me,Garden_me,Experiments_me,Read_me,Internet_me,Computer_me,TV_me,Build_me,Library_encourage,Museum_encourage,Scouts_encourage,National_park_encourage,Afterschool_encourage,Talk_encourage,Summer_camps_encourage,Hike_outdoors_encourage,Garden_encourage,Experiment_encourage,Read_encourage,Internet_encourage,Computer_encourage,TV_encourage,Build_encourage,Stars_planets,mix_materials,Weather,Human_body,Traits,Dinosaurs,Fish_hunt,Earthquakes,Instruments,Diseases,Dangerous_plants_animals,Planets_space,Buildings_bridges,Eat_exercise,Engines,Rocks_minerals,Computers_cell_phones,Puzzels_math,Food_flowers,Maps,Invent,Community_green,Pets,Earth_space_5,Human_bio_5,Tech_eng_5
85,0,Sacramento,Klansnic,2,3,2,4,2,5,3,4,4,4,3,4,2,3,5,2111,1121,2111,1112,1112,1112,2111,1121,2111,1112,1211,1112,1112,1112,1112,5,5,2,3,1,4,2,1,1,1,3,5,5,3,1,4,5,5,2,1,5,3,1,0.5625,0.333333333333332,0.625
86,1,Sacramento,Klansnic,4,2,1,3,2,5,1,5,3,4,2,2,4,1,4,1112,1112,1111,1112,1111,1112,1111,2111,1111,1112,1112,1112,2112,1111,1112,2,5,3,2,2,5,1,5,5,4,5,5,2,5,2,5,5,NA,2,5,5,2,5,0.6875,0.5,0.75
87,1,Sacramento,Klansnic,2,2,1,2,2,3,1,3,2,3,2,3,2,2,2,2111,1111,1111,1111,2111,2111,1111,1111,1111,1111,2111,1111,2111,1211,1211,2,4,2,2,4,1,1,2,1,1,1,2,2,4,1,2,3,4,3,3,3,4,4,0.25,0.583333333333332,0.333333333333332
88,1,Sacramento,Klansnic,4,2,1,3,4,3,1,5,2,5,4,5,4,2,4,1112,1211,2111,2111,2111,2111,2111,1211,1112,2111,1112,2111,1112,2111,1112,2,4,1,4,2,4,1,4,1,4,4,2,1,4,1,1,4,2,4,4,2,5,5,0.3125,0.583333333333332,0.291666666666668
90,1,Sacramento,Klansnic,3,2,2,2,5,3,1,3,2,1,2,2,4,1,4,2111,1121,1112,1121,2111,1211,2111,2111,2111,2111,2111,2111,1112,2111,1112,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,2,2,1,2,1,3,1,5,0,0.0833333333333325,0.166666666666668
91,0,Sacramento,Klansnic,3,2,1,3,2,3,1,4,3,4,4,5,5,4,2,2111,1112,1111,2111,1112,2111,1211,2111,2111,2111,1211,1112,1112,2111,2111,4,3,4,2,1,4,2,4,3,4,4,4,3,4,1,2,4,5,3,2,4,4,5,0.75,0.333333333333332,0.416666666666668
93,1,Prescott,Renee,2,3,1,5,3,4,2,5,5,3,4,5,5,3,4,1112,1211,1121,2111,1112,1121,2111,2111,2111,1211,1211,2111,2111,1121,1211,4,5,4,5,5,2,5,4,2,5,2,4,2,5,4,2,4,2,5,2,5,4,4,0.75,1,0.541666666666668
94,0,Prescott,Renee,3,2,1,4,5,5,1,5,5,3,4,5,4,1,4,2111,1121,1112,2111,2111,2111,1112,2111,2111,1121,2111,2111,2111,1121,1112,4,5,5,4,2,5,4,5,1,3,4,3,2,1,3,5,1,1,4,2,5,5,3,0.8125,0.333333333333332,0.5
95,0,Prescott,Ugrate,4,2,1,3,4,3,1,3,1,2,4,3,1,2,3,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,1,5,1,3,5,5,5,5,4,5,4,3,5,5,1,1,5,5,3,5,5,5,5,0.375,0.833333333333333,0.666666666666668
96,1,Prescott,Marsh,5,3,2,3,4,5,1,5,5,4,5,4,5,2,3,2111,1211,1121,2111,2111,2111,1112,2111,1111,1211,1121,2111,2111,2111,1211,4,5,4,2,5,5,4,5,5,5,5,4,4,4,4,5,5,5,5,2,5,5,5,0.8125,0.666666666666668,0.791666666666667
97,1,Prescott,Marsh,3,3,2,2,4,4,2,5,4,3,4,3,5,3,3,1112,2111,1112,1112,1112,2111,1112,1112,1211,1211,1112,1112,1112,1211,1112,4,5,4,5,2,3,NA,4,5,4,4,5,4,4,5,5,5,4,4,4,5,4,5,0.8125,0.666666666666668,0.916666666666667
98,1,Prescott,Renee,2,2,1,3,5,5,1,4,3,2,4,3,5,2,2,1211,1111,1111,2111,2111,1112,2111,2111,2111,1111,2111,1112,1112,1111,1111,5,5,1,2,2,5,2,5,1,3,2,2,2,4,2,4,3,3,2,1,4,2,4,0.5625,0.416666666666668,0.416666666666668
100,0,Prescott,Marsh,2,1,1,2,1,2,1,1,1,1,1,4,5,2,2,2111,1112,1112,1112,1112,1112,1112,2111,1112,1112,2111,1112,1112,1112,1112,5,4,2,3,2,5,2,4,3,4,4,5,5,3,2,2,4,3,3,4,3,3,3,0.75,0.416666666666668,0.583333333333332
101,0,Prescott,Gifford,1,4,1,3,5,1,1,5,1,3,3,3,5,5,5,1112,1112,2111,1122,1112,1211,2111,2111,2111,1112,1112,1211,1112,1112,1112,1,5,3,3,3,3,5,5,5,4,5,5,5,5,5,5,5,3,3,3,5,4,4,0.625,0.666666666666668,0.916666666666667
103,1,Prescott,Ugrate,4,4,4,4,5,5,5,4,5,4,5,4,5,3,1,2111,2211,2121,2111,1121,2111,1121,1121,2111,1121,1121,2211,1121,1121,1112,4,5,4,5,2,5,2,5,5,5,4,5,3,5,2,4,5,5,5,5,5,5,5,0.875,0.75,0.75
104,1,Prescott,Ugrate,4,3,1,5,1,4,1,4,4,2,5,3,2,2,1,1112,1112,1121,1112,1121,1112,1211,1121,2111,1121,1112,1121,1112,1211,1211,4,5,2,2,4,5,1,NA,2,5,5,4,4,5,1,5,5,5,4,1,2,5,5,0.583333333333332,0.666666666666668,0.5
106,NA,Prescott,Renee,3,4,1,2,3,5,1,5,4,4,3,5,5,5,5,2111,2111,1112,1211,2111,2111,1112,2111,2111,1112,1121,2111,1112,2111,2111,4,5,5,5,4,5,5,4,3,4,5,5,4,5,5,4,5,5,4,4,5,4,5,0.875,0.916666666666667,0.875
107,1,Prescott,Renee,5,1,3,5,5,5,5,5,5,5,1,5,5,5,5,2111,1112,2111,2111,2111,2111,2111,2111,2111,2111,1112,2111,2111,2111,2111,5,5,5,5,5,5,5,5,5,1,5,5,5,3,5,5,5,5,5,5,5,5,5,1,0.833333333333333,1
108,0,Faithful Savior,Croydon,4,2,4,3,4,2,4,5,3,3,5,4,4,3,5,1112,1112,1112,1112,2121,2111,2112,1112,2111,1112,1112,1112,1112,1121,1112,4,3,2,2,1,4,4,2,4,2,3,5,3,2,2,3,5,2,1,4,5,4,4,0.5625,0.166666666666668,0.666666666666668
110,0,Faithful Savior,FS,4,3,5,4,4,2,4,5,4,4,5,5,5,3,5,1112,1112,2111,2111,1112,1112,2111,2111,2111,2111,1112,1112,1112,1112,1112,4,5,1,1,2,1,1,1,3,2,4,5,2,2,3,2,5,2,2,5,5,5,5,0.4375,0.166666666666668,0.666666666666668
111,0,Faithful Savior,NA,3,2,4,4,1,5,1,4,2,2,5,2,4,3,4,1112,1121,2111,1112,2111,2111,1211,1112,2111,2111,1112,1211,1112,1211,2111,3,5,1,4,2,4,5,4,1,5,5,4,3,3,4,1,3,4,2,2,4,2,5,0.5,0.5,0.458333333333332
117,1,Russell,O'Brien,4,4,5,4,5,5,4,5,4,5,4,5,5,5,5,1112,2211,1112,2111,1121,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,5,4,1,4,1,5,5,2,1,3,4,4,1,1,3,4,5,4,2,4,5,4,2,0.5,0.25,0.666666666666668
120,0,Sacramento,Brown,3,2,2,3,2,4,1,2,4,3,5,4,4,2,4,1112,1112,1121,1112,2111,1112,1211,2111,2111,1112,1112,1112,1112,1112,1112,2,4,3,2,2,5,4,5,2,2,4,4,3,3,4,4,4,4,3,5,3,5,4,0.625,0.333333333333332,0.708333333333332
121,0,Sacramento,Landreth,3,2,5,2,5,5,1,5,5,5,5,2,1,4,5,2111,1211,1112,1121,1211,2211,2111,2111,2111,2211,1112,1112,1121,2111,2111,5,4,5,1,3,3,2,5,2,1,5,5,2,3,5,5,5,4,3,4,5,5,5,1,0.333333333333332,0.833333333333333
123,0,Sacramento,Landreth,3,4,2,2,3,2,4,5,2,3,5,4,5,3,1,1112,1112,1111,1111,1111,2111,1112,1112,1111,1121,1112,2111,1112,1112,1111,5,4,4,3,1,4,4,5,3,4,3,5,4,3,4,3,5,5,2,4,5,3,4,0.9375,0.333333333333332,0.791666666666667
124,0,Russell,O'Brien,3,3,2,3,3,4,2,4,2,4,4,5,5,5,2,1211,1211,1121,2111,1211,2111,1121,2111,1121,1121,1211,2111,2111,2111,1211,4,4,3,4,4,3,5,5,3,5,2,3,3,3,4,4,5,3,3,2,4,4,3,0.6875,0.666666666666668,0.666666666666668
126,1,Prescott,Marsh,2,5,1,5,5,5,1,5,5,2,5,5,5,3,5,2111,2111,1121,2111,2111,2111,1112,1121,2111,2111,1211,2111,2111,2111,2111,4,5,4,5,5,4,5,5,5,5,5,5,4,5,5,4,3,5,5,5,4,5,5,0.875,1,0.791666666666667
131,0,Prescott,Marsh,3,3,1,3,5,4,3,4,2,5,5,4,2,4,5,1112,1112,1111,1112,1112,2111,1112,1112,1111,1112,1111,1112,1112,1112,1112,3,4,2,2,2,2,5,3,1,1,2,2,4,4,3,2,2,4,2,2,5,1,2,0.375,0.416666666666668,0.5
132,0,Prescott,Tyler,3,4,2,4,5,3,1,5,3,5,4,5,5,3,5,1121,2111,1112,2111,2111,1112,1112,2111,1112,1112,2111,1112,1112,1112,2111,4,5,5,5,2,4,5,5,4,5,3,5,3,2,4,3,5,4,5,4,5,4,5,0.9375,0.5,0.75
134,0,Prescott,Gifford,2,2,1,1,2,2,1,1,2,2,4,3,5,2,4,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,4,5,3,2,4,5,1,3,4,5,5,5,1,5,1,4,4,5,5,5,5,5,5,0.6875,0.666666666666668,0.583333333333332
135,1,Prescott,Gifford,3,2,1,2,5,2,1,3,4,3,4,5,5,5,5,1121,1121,1112,1111,2111,1211,1112,1112,1121,1211,1211,1121,1121,1121,2111,5,4,3,3,3,5,2,5,5,5,5,5,5,5,4,5,5,3,2,4,5,3,5,0.875,0.666666666666668,0.916666666666667
136,1,Prescott,Tyler,4,3,2,5,5,3,5,4,3,2,4,5,5,1,4,1112,1121,1121,2112,1112,1112,1112,1112,1121,1112,1121,1112,1112,1112,1211,1,2,2,3,3,2,5,4,4,5,5,1,2,2,2,1,5,2,2,1,2,3,5,0.25,0.416666666666668,0.291666666666668
137,1,Prescott,Tyler,3,3,3,2,4,4,5,5,4,5,5,5,5,4,5,1112,1121,1112,1121,1121,1112,2121,2111,1112,1112,2111,1221,1112,1112,1112,4,5,3,3,4,2,4,4,5,4,3,4,2,NA,4,1,2,2,4,2,4,3,2,0.6875,0.625,0.375
139,1,Prescott,Tyler,3,2,1,3,2,4,4,3,1,2,4,3,5,2,3,2111,1121,1112,1121,2111,2111,2111,1121,1112,1112,2111,2111,1121,1112,1211,2,3,3,2,4,1,4,3,4,3,3,2,2,3,2,1,4,2,3,2,4,4,4,0.375,0.5,0.375
142,0,Prescott,Tyler,3,3,2,1,2,4,1,5,3,2,2,4,5,3,4,2111,1112,2111,1112,1112,1112,1121,2111,2111,2111,2111,1112,1112,2111,1211,3,5,4,5,4,5,5,3,4,2,5,3,2,4,1,3,4,2,4,3,5,3,5,0.5625,0.833333333333333,0.5
143,0,Prescott,Renee,3,2,1,3,5,2,1,4,1,2,4,5,5,3,5,2111,2111,1121,2111,1121,2111,1121,2111,1121,1121,1112,1112,1112,2111,2112,5,5,4,4,2,3,3,3,2,1,1,5,5,2,3,1,5,4,3,3,5,2,2,0.8125,0.416666666666668,0.666666666666668
145,0,Sacramento,Brown,3,3,1,2,5,2,2,4,3,3,2,2,1,3,4,1121,1121,1112,1121,2111,1111,1121,2111,1121,2111,1121,1112,1112,1121,2111,5,4,4,5,4,5,5,5,4,4,4,5,3,4,5,3,4,4,3,5,5,5,4,0.9375,0.833333333333333,0.791666666666667
147,0,Sacramento,Brown,3,2,1,3,4,5,1,5,3,4,5,4,5,2,5,1112,1112,1111,1211,2111,2111,2111,1112,2111,1112,1112,2111,1112,1211,1112,4,4,4,3,5,3,5,3,2,4,4,5,2,5,5,3,5,3,2,2,5,5,5,0.75,0.833333333333333,0.666666666666668
148,0,Sacramento,Landreth,5,2,4,1,1,4,2,1,3,1,2,1,5,5,5,1112,1112,1112,1112,1112,1112,1121,1112,1112,1112,1112,1112,1112,1112,1112,4,5,3,3,4,5,5,4,1,2,3,5,4,3,1,1,1,1,1,1,5,5,3,0.75,0.583333333333332,0.291666666666668
149,0,Sacramento,Landreth,3,2,1,3,2,2,1,2,4,3,3,2,2,2,5,1112,1112,1112,2111,1121,1112,1112,1121,2111,1112,1112,1112,1112,1112,1112,2,2,2,2,1,3,4,1,1,1,2,2,4,4,1,2,1,4,2,1,5,4,2,0.1875,0.333333333333332,0.333333333333332
150,0,Sacramento,Brown,4,2,3,1,4,5,4,4,4,3,3,1,5,5,4,2111,2111,1112,1121,1112,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,5,5,3,4,5,5,2,5,1,5,5,NA,4,5,5,5,5,1,2,3,5,5,5,0.833333333333333,0.916666666666667,0.875
151,1,Sacramento,Brown,4,3,3,3,5,4,1,5,3,3,5,3,4,2,3,1112,1112,1111,1121,2111,2111,1121,1112,1112,2111,2111,1112,2111,1112,1112,4,5,3,2,4,3,4,5,2,1,4,NA,3,5,2,2,3,2,4,3,1,4,5,0.75,0.666666666666668,0.333333333333332
152,1,Sacramento,Landreth,4,4,1,1,1,4,1,1,1,4,4,5,5,5,1,2111,1211,1112,1112,1211,2111,1112,1112,1112,1121,1111,2111,1112,2111,1211,4,2,2,4,1,2,1,4,4,1,2,2,1,1,1,2,2,4,2,2,2,1,4,0.5,0.25,0.166666666666668
153,0,Sacramento,Brown,3,3,1,2,1,4,1,3,2,2,4,3,2,3,5,2111,2111,1111,2111,1111,1112,1111,1112,1112,1111,2112,1112,1112,1112,1112,5,1,3,3,2,2,2,5,1,2,3,5,4,3,2,3,5,4,2,3,4,5,5,0.875,0.416666666666668,0.625
154,0,Russell,O'Brien,4,3,5,3,1,3,3,5,3,3,4,4,5,3,4,2111,1112,2111,2111,1121,1112,1112,2111,2111,1112,2111,1112,1112,1112,1112,3,4,3,3,4,4,4,2,3,3,4,3,4,3,2,2,5,5,3,3,5,5,3,0.4375,0.583333333333332,0.625
155,1,Russell,O'Brien,3,3,2,4,5,5,5,5,4,2,5,3,3,2,1,1112,1121,2111,1112,1112,1112,2112,1121,1121,1121,1112,2111,1211,1211,1121,3,5,5,5,2,1,1,2,1,5,4,1,1,5,1,2,4,5,2,2,5,5,4,0.4375,0.75,0.375
157,1,Russell,O'Brien,3,2,1,3,3,5,4,3,4,2,5,1,5,1,3,1112,1112,2111,1112,2121,2111,1112,2111,1112,1121,1112,1121,1112,1121,1121,1,3,1,5,3,4,2,1,1,1,1,2,1,5,1,1,1,3,5,1,1,5,5,0.0625,0.833333333333333,0
158,0,Russell,O'Brien,3,3,2,3,5,5,2,5,3,4,3,3,5,3,5,1112,1112,1112,1112,2111,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,2,5,1,4,3,1,5,2,1,1,1,4,2,2,1,1,2,3,3,3,2,3,4,0.3125,0.5,0.208333333333332
160,1,Russell,O'Brien,2,1,3,3,1,4,1,4,1,1,5,3,1,1,1,1112,1121,1112,2111,1112,2111,1121,2111,1112,1112,2111,1112,1112,1112,1112,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,0,0,0.166666666666668
161,1,Russell,O'Brien,2,2,4,4,4,5,3,3,1,2,5,1,2,2,1,1112,1121,2121,1121,1111,2111,2121,1112,2111,2111,2211,1112,1112,1112,1112,4,1,1,4,1,1,1,1,1,5,2,5,1,4,1,1,1,1,1,1,3,5,4,0.4375,0.5,0.0833333333333325
163,0,Russell,O'Brien,3,1,1,1,5,4,2,1,3,4,2,4,5,4,4,2211,1112,1112,1112,1121,1112,1112,1112,1212,1212,1112,2211,1122,2111,1222,3,1,1,2,1,4,5,3,3,4,4,3,1,4,2,4,4,3,4,2,5,2,5,0.375,0.333333333333332,0.5
164,1,Russell,O'Brien,4,3,2,2,1,5,1,4,5,4,5,5,5,5,4,2111,1211,1121,1211,1121,1211,1121,1211,2111,2111,1211,1211,1112,2111,1112,2,5,2,1,4,2,5,3,4,1,5,3,2,5,2,5,5,4,5,4,5,5,5,0.375,0.583333333333332,0.708333333333332
165,0,Russell,Curry,4,4,2,2,2,4,1,5,1,2,4,5,5,4,4,1211,2111,1121,1211,2111,2111,1112,2111,1112,1121,2111,1211,2111,1121,1112,5,4,2,3,2,5,3,5,5,5,5,5,4,4,3,1,3,4,1,1,3,4,4,0.8125,0.5,0.375
166,0,Russell,Curry,4,2,5,3,5,4,5,5,1,4,3,3,4,4,2,1112,1111,1121,1121,2112,2111,1112,1112,1111,2111,2111,1112,1112,1112,1111,5,4,5,5,4,4,1,5,4,4,5,5,4,4,5,1,5,4,1,5,5,4,5,1,0.833333333333333,0.791666666666667
167,1,Russell,Curry,4,4,1,3,2,4,1,2,3,4,5,5,3,4,5,1112,1112,1121,1112,2111,1112,2111,1121,1112,1112,1111,2112,1211,1112,1112,5,5,4,5,2,5,1,5,2,5,5,4,3,5,4,5,4,5,2,5,5,5,5,0.875,0.75,0.833333333333333
168,1,Russell,Curry,5,3,1,4,1,3,5,3,3,3,2,3,5,2,3,1112,1112,2111,1112,1112,1112,2111,2111,1112,2111,1112,2111,1112,2111,1112,5,5,4,3,2,4,4,4,2,2,4,5,2,4,2,3,2,3,2,1,4,2,5,0.875,0.5,0.333333333333332
170,1,Russell,Curry,3,1,5,5,1,1,5,5,5,3,5,1,2,5,5,2111,1112,2111,2111,1111,1111,2111,2111,2111,2111,2111,1112,1112,2111,2111,5,NA,1,1,5,5,5,5,1,1,5,5,3,1,1,5,5,5,5,1,5,5,5,0.75,0.333333333333332,0.583333333333332
172,1,Russell,Curry,5,3,2,2,1,2,2,4,1,5,5,5,5,5,5,1112,1112,1111,1111,1111,1111,1112,1112,1111,1112,1112,1112,1112,1112,1112,3,5,1,1,5,1,1,1,1,5,5,5,1,4,3,5,5,5,4,4,5,5,5,0.375,0.583333333333332,0.708333333333332
173,1,Russell,Curry,2,3,4,3,5,1,1,3,1,4,4,2,4,1,2,2111,2111,2111,1112,2111,2111,2111,2111,1111,1112,1112,1112,1112,1111,1112,2,5,1,4,1,3,5,4,1,1,2,3,4,1,1,1,1,2,3,4,5,1,5,0.375,0.25,0.416666666666668
